CLIENTNUM,Attrition_Flag,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio,Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_1,Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_2
787541883,Existing Customer,44,M,3,Graduate,Unknown,$80K - $120K,Blue,33,3,3,3,34516.0,0,34516.0,0.483,1120,27,0.35,0.0,0.0003139,0.99969
710881008,Existing Customer,42,M,3,High School,Single,$80K - $120K,Blue,29,3,1,1,6380.0,1238,5142.0,0.903,4119,66,0.61,0.194,3.3505e-05,0.99997
716307558,Attrited Customer,50,F,3,High School,Married,Less than $40K,Blue,40,6,2,4,2897.0,1506,1391.0,0.618,2214,46,0.484,0.52,0.99697,0.00302546
821771508,Existing Customer,32,M,0,High School,Married,$40K - $60K,Blue,28,5,1,2,3172.0,2055,1117.0,0.663,1939,36,0.636,0.648,4.5946e-05,0.99995
719213133,Existing Customer,53,M,1,Graduate,Unknown,$60K - $80K,Blue,41,4,1,2,2432.0,1554,878.0,1.158,3670,60,0.818,0.639,5.1697e-05,0.99995
716856408,Attrited Customer,39,F,4,Graduate,Single,Less than $40K,Blue,28,5,2,4,1438.3,0,1438.3,0.777,2392,44,0.375,0.0,0.99709,0.0029104
715898058,Existing Customer,53,M,2,Graduate,Married,$120K +,Blue,36,5,1,3,11023.0,0,11023.0,0.539,1656,41,0.367,0.0,9.2637e-05,0.99991
717529233,Attrited Customer,40,F,3,Graduate,Single,Less than $40K,Blue,30,4,3,2,3319.0,0,3319.0,0.262,4840,44,0.375,0.0,0.99467,0.00533
718215033,Existing Customer,54,F,3,Unknown,Married,Less than $40K,Blue,36,6,2,4,2556.0,2260,296.0,0.487,1401,30,0.579,0.884,0.00037246,0.99963
770781558,Existing Customer,35,F,2,Graduate,Married,Less than $40K,Blue,21,5,1,2,3230.0,2517,713.0,0.677,1914,31,0.348,0.779,5.5077e-05,0.99994
715448058,Existing Customer,42,F,1,College,Married,Less than $40K,Blue,36,6,4,1,3050.0,1824,1226.0,0.771,1973,50,1.381,0.598,0.00011963,0.99988
714321408,Existing Customer,65,M,1,High School,Married,$40K - $60K,Blue,56,6,2,2,2246.0,1326,920.0,0.543,1429,32,0.455,0.59,0.00010386,0.9999
780604083,Existing Customer,49,M,1,Unknown,Single,$60K - $80K,Blue,37,1,2,2,18349.0,1209,17140.0,0.738,16422,110,0.803,0.066,0.00011743,0.99988
718767183,Existing Customer,45,F,4,Post-Graduate,Unknown,Less than $40K,Blue,36,6,3,1,2192.0,1464,728.0,0.66,4905,89,0.978,0.668,0.00013386,0.99987
709279608,Existing Customer,45,M,4,High School,Married,$80K - $120K,Blue,35,5,2,3,9852.0,2277,7575.0,0.831,3813,71,0.614,0.231,0.00019517,0.9998
715588908,Existing Customer,42,F,4,Graduate,Single,Less than $40K,Blue,32,3,2,3,6158.0,0,6158.0,1.411,3132,66,0.784,0.0,0.00020077,0.9998
713005908,Existing Customer,47,F,2,Graduate,Married,$40K - $60K,Blue,36,5,2,3,2255.0,1733,522.0,0.903,4772,83,0.729,0.769,0.00019143,0.99981
711574008,Existing Customer,32,M,3,College,Single,$80K - $120K,Blue,21,4,3,5,21390.0,0,21390.0,0.946,2477,59,0.341,0.0,0.00090051,0.9991
715858008,Attrited Customer,49,F,1,Uneducated,Married,$40K - $60K,Blue,39,2,3,3,8061.0,2517,5544.0,0.352,1224,31,0.409,0.312,0.99659,0.00341249
804606033,Existing Customer,46,M,4,High School,Unknown,$40K - $60K,Blue,41,6,1,2,8738.0,1172,7566.0,0.65,3121,60,0.395,0.134,5.6153e-05,0.99994
779281233,Existing Customer,45,F,3,Graduate,Single,Unknown,Blue,27,4,3,3,2478.0,1748,730.0,0.643,4353,80,0.667,0.705,0.0003139,0.99969
789707433,Existing Customer,41,F,4,High School,Single,Unknown,Blue,28,4,2,2,2515.0,1313,1202.0,0.981,4370,68,0.7,0.522,0.00011604,0.99988
719356008,Existing Customer,39,F,3,Graduate,Single,Less than $40K,Blue,36,4,3,4,1438.3,0,1438.3,1.022,4548,69,0.917,0.0,0.00053543,0.99946
721091583,Existing Customer,44,F,2,Graduate,Single,Less than $40K,Blue,32,3,3,3,3031.0,1879,1152.0,0.788,1298,15,1.5,0.62,0.00030251,0.9997
737967708,Existing Customer,52,F,1,Unknown,Married,$40K - $60K,Blue,45,5,1,1,1611.0,938,673.0,0.601,4087,86,0.911,0.582,3.4268e-05,0.99997
710569233,Existing Customer,46,M,3,Unknown,Single,$80K - $120K,Blue,35,2,1,1,11814.0,1440,10374.0,0.798,9185,100,0.695,0.122,3.7884e-05,0.99996
711598533,Existing Customer,43,M,1,High School,Married,$60K - $80K,Blue,36,1,2,3,4255.0,1729,2526.0,0.55,3607,75,0.471,0.406,0.00017468,0.99983
819109308,Existing Customer,62,M,0,Graduate,Divorced,$60K - $80K,Blue,56,1,3,3,6103.0,2517,3586.0,0.74,8080,92,0.704,0.412,0.0002596,0.99974
719342808,Existing Customer,48,M,3,Graduate,Single,$80K - $120K,Blue,30,4,2,3,4180.0,688,3492.0,0.747,3750,76,0.727,0.165,0.00019864,0.9998
715499058,Attrited Customer,36,F,2,High School,Married,$40K - $60K,Blue,36,4,3,2,1848.0,0,1848.0,0.906,2775,33,0.435,0.0,0.99431,0.00569
785515533,Existing Customer,43,F,2,College,Married,Less than $40K,Blue,37,3,3,1,5380.0,1337,4043.0,0.845,8947,93,0.576,0.249,0.00010546,0.99989
780588258,Existing Customer,53,F,5,Unknown,Married,Less than $40K,Blue,42,1,2,2,4021.0,1745,2276.0,0.784,14567,120,0.846,0.434,0.00012916,0.99987
711992133,Existing Customer,53,F,1,Uneducated,Married,Less than $40K,Blue,41,4,2,2,2596.0,868,1728.0,0.743,4801,72,0.714,0.334,0.00010985,0.99989
714603558,Existing Customer,37,M,2,High School,Single,$40K - $60K,Blue,24,6,2,3,11699.0,1758,9941.0,0.869,2007,46,1.0,0.15,0.0001861,0.99981
779450958,Existing Customer,43,F,4,Graduate,Married,Less than $40K,Blue,25,5,3,2,2772.0,1782,990.0,0.718,4739,88,0.796,0.643,0.00018864,0.99981
716112933,Attrited Customer,39,F,3,Graduate,Married,Unknown,Blue,36,3,2,3,1575.0,592,983.0,0.236,644,15,0.154,0.376,0.99499,0.00501
789262683,Existing Customer,60,M,1,Unknown,Divorced,$40K - $60K,Blue,49,4,3,2,3012.0,0,3012.0,0.538,1315,23,0.278,0.0,0.00018558,0.99981
713522058,Existing Customer,39,F,0,College,Married,Less than $40K,Blue,30,3,2,3,1978.0,871,1107.0,0.636,4299,59,0.844,0.44,0.00015971,0.99984
717087858,Existing Customer,51,F,1,Graduate,Single,$40K - $60K,Blue,36,3,3,1,2146.0,967,1179.0,0.569,4253,74,0.721,0.451,0.00010182,0.9999
710170758,Attrited Customer,32,M,0,Post-Graduate,Married,$60K - $80K,Blue,25,6,2,2,4469.0,2331,2138.0,1.006,8314,67,0.763,0.522,0.99137,0.00863
714832383,Existing Customer,35,M,0,High School,Single,$80K - $120K,Gold,29,6,2,3,34516.0,1965,32551.0,1.044,2949,70,1.0,0.057,0.00018399,0.99982
713976258,Existing Customer,51,F,3,Graduate,Single,Less than $40K,Blue,46,4,1,3,1792.0,989,803.0,1.202,3102,63,0.703,0.552,9.6126e-05,0.9999
717334233,Existing Customer,54,F,1,Uneducated,Single,$40K - $60K,Blue,43,1,3,2,9525.0,2517,7008.0,0.669,4804,79,0.881,0.264,0.0001736,0.99983
712237458,Existing Customer,47,M,3,Unknown,Married,$120K +,Blue,28,3,2,2,11629.0,802,10827.0,0.912,3752,78,0.902,0.069,0.00012982,0.99987
716102583,Existing Customer,63,F,1,Graduate,Married,Less than $40K,Blue,53,6,1,3,2675.0,2517,158.0,0.957,1959,56,1.0,0.941,8.6952e-05,0.99991
813449508,Attrited Customer,61,M,0,Graduate,Married,$60K - $80K,Blue,56,6,2,3,9918.0,850,9068.0,0.688,2485,40,0.29,0.086,0.99395,0.00605
789760233,Existing Customer,29,M,0,Unknown,Divorced,$80K - $120K,Blue,14,6,3,3,3544.0,0,3544.0,0.718,2435,63,1.032,0.0,0.00028535,0.99971
721325133,Existing Customer,45,M,2,College,Married,$80K - $120K,Blue,36,6,1,3,31625.0,0,31625.0,0.559,4503,77,0.674,0.0,9.0064e-05,0.99991
711226758,Existing Customer,51,F,1,College,Divorced,Less than $40K,Blue,42,3,2,3,4002.0,1669,2333.0,0.702,2024,53,1.12,0.417,0.0001747,0.99983
715522233,Existing Customer,45,F,3,Doctorate,Single,Less than $40K,Blue,27,1,6,3,2917.0,1523,1394.0,0.724,4878,92,0.804,0.522,0.00035857,0.99964
789948408,Existing Customer,55,M,2,Graduate,Single,$80K - $120K,Blue,46,3,1,4,34516.0,1718,32798.0,0.51,5220,74,0.423,0.05,0.00015804,0.99984
713511108,Existing Customer,61,M,1,Uneducated,Married,$40K - $60K,Blue,47,5,3,4,1438.3,847,591.3,0.436,1397,43,0.483,0.589,0.000498,0.9995
713723433,Existing Customer,52,F,4,High School,Single,Less than $40K,Blue,44,1,1,3,5721.0,0,5721.0,0.57,4188,79,0.881,0.0,9.4447e-05,0.99991
714034158,Existing Customer,46,F,4,Unknown,Married,Less than $40K,Blue,38,5,2,3,3331.0,1307,2024.0,0.617,3946,69,0.683,0.392,0.00022068,0.99978
807349158,Existing Customer,36,M,4,Doctorate,Divorced,$120K +,Blue,31,4,3,4,34516.0,1491,33025.0,0.93,2243,60,0.935,0.043,0.00078294,0.99922
774172158,Existing Customer,29,M,1,Unknown,Single,$60K - $80K,Blue,19,3,1,2,23507.0,1990,21517.0,0.631,2650,65,0.912,0.085,5.6825e-05,0.99994
770764908,Existing Customer,39,M,2,Unknown,Married,$60K - $80K,Blue,25,5,2,3,3071.0,2517,554.0,0.583,1765,36,0.565,0.82,0.00021042,0.99979
711258108,Existing Customer,54,M,1,College,Married,$120K +,Blue,44,4,3,2,2821.0,2415,406.0,0.441,1419,36,0.8,0.856,0.00016415,0.99984
716986458,Existing Customer,44,F,3,High School,Single,Unknown,Blue,36,1,3,2,9766.0,1575,8191.0,0.661,7605,101,0.603,0.161,0.00018145,0.99982
788646858,Existing Customer,41,F,3,Graduate,Married,Less than $40K,Blue,29,6,3,1,1959.0,1268,691.0,0.731,4275,61,0.649,0.647,0.00011256,0.99989
787466808,Existing Customer,35,F,0,Unknown,Married,Less than $40K,Blue,22,2,2,3,3009.0,2517,492.0,0.735,5329,82,0.745,0.836,0.00018057,0.99982
718127958,Existing Customer,58,M,0,Graduate,Divorced,Unknown,Blue,36,4,2,2,9097.0,1656,7441.0,0.813,4174,85,0.7,0.182,9.7673e-05,0.9999
710538183,Existing Customer,53,F,3,Graduate,Divorced,Less than $40K,Blue,42,3,2,4,1529.0,563,966.0,0.785,4220,83,0.844,0.368,0.00033886,0.99966
708382083,Existing Customer,49,M,5,High School,Married,$80K - $120K,Blue,36,6,2,2,2292.0,0,2292.0,0.976,2584,60,0.5,0.0,0.00011423,0.99989
779471883,Attrited Customer,54,F,1,Graduate,Married,Less than $40K,Blue,40,2,3,1,1438.3,808,630.3,0.997,705,19,0.9,0.562,0.99028,0.00972
710535708,Existing Customer,49,M,2,Uneducated,Married,$80K - $120K,Blue,39,2,3,1,15894.0,1293,14601.0,0.693,14256,118,0.735,0.081,0.00011153,0.99989
789082758,Existing Customer,40,F,2,High School,Married,Less than $40K,Blue,28,1,3,3,2734.0,1661,1073.0,0.726,4981,90,0.698,0.608,0.00029408,0.99971
719658858,Existing Customer,50,F,4,Doctorate,Married,Unknown,Silver,36,3,2,1,34516.0,2096,32420.0,0.666,7042,73,0.553,0.061,9.4127e-05,0.99991
717835908,Existing Customer,33,M,2,Post-Graduate,Married,$80K - $120K,Blue,22,3,3,3,1438.3,681,757.3,1.542,2730,48,0.778,0.473,0.00035594,0.99964
789817833,Attrited Customer,44,F,5,Post-Graduate,Unknown,Less than $40K,Blue,33,3,3,2,9073.0,2466,6607.0,0.446,6793,60,1.069,0.272,0.99545,0.00455475
715764483,Existing Customer,53,F,3,High School,Unknown,Less than $40K,Blue,37,3,2,4,7202.0,974,6228.0,0.517,1397,33,0.5,0.135,0.00032942,0.99967
710779083,Existing Customer,59,F,0,Graduate,Married,Less than $40K,Blue,48,3,3,4,1661.0,0,1661.0,0.672,4338,77,0.925,0.0,0.00044282,0.99956
709272333,Existing Customer,59,F,1,Uneducated,Unknown,Less than $40K,Blue,45,6,3,3,9899.0,2023,7876.0,0.445,4579,73,0.622,0.204,0.00029196,0.99971
720565458,Attrited Customer,43,M,2,Post-Graduate,Single,$60K - $80K,Blue,36,2,3,3,17306.0,0,17306.0,0.4,6205,65,0.806,0.0,0.9972,0.00280059
717480783,Existing Customer,39,M,1,High School,Single,$80K - $120K,Blue,29,3,1,2,9680.0,2101,7579.0,0.626,15152,100,0.695,0.217,5.0256e-05,0.99995
719431608,Existing Customer,63,F,0,College,Married,$40K - $60K,Blue,53,6,1,4,3118.0,1528,1590.0,0.604,1291,24,0.6,0.49,0.00013185,0.99987
772390908,Attrited Customer,59,M,0,High School,Single,$40K - $60K,Blue,48,2,4,3,3616.0,1054,2562.0,0.616,687,17,0.545,0.291,0.99673,0.00326713
711768858,Existing Customer,55,M,2,High School,Married,$80K - $120K,Blue,36,3,2,3,6514.0,2258,4256.0,0.785,1383,20,1.857,0.347,0.0001861,0.99981
790123983,Existing Customer,50,F,2,High School,Single,Less than $40K,Blue,43,4,2,1,2974.0,2090,884.0,0.975,4297,88,0.833,0.703,6.6728e-05,0.99993
709082808,Existing Customer,53,F,2,High School,Married,Less than $40K,Blue,36,2,3,2,2156.0,1198,958.0,0.507,5092,95,0.759,0.556,0.00017486,0.99983
714946908,Existing Customer,61,M,1,Uneducated,Single,$40K - $60K,Blue,36,6,1,1,5039.0,1352,3687.0,0.797,3300,68,0.545,0.268,3.2055e-05,0.99997
814364808,Existing Customer,36,F,2,Uneducated,Married,Unknown,Blue,31,5,3,1,3002.0,1002,2000.0,1.033,2624,46,1.0,0.334,0.00011153,0.99989
789487308,Existing Customer,48,M,2,Doctorate,Single,$60K - $80K,Blue,39,3,2,2,10033.0,0,10033.0,0.644,4106,78,0.902,0.0,0.00016471,0.99984
708276183,Attrited Customer,52,F,3,Post-Graduate,Married,Less than $40K,Blue,45,2,4,1,1760.0,0,1760.0,0.046,1554,35,0.029,0.0,0.99379,0.00621
775112958,Existing Customer,51,M,1,Unknown,Married,$60K - $80K,Blue,45,2,3,3,11548.0,0,11548.0,0.611,7781,72,0.895,0.0,0.00031211,0.99969
811571733,Existing Customer,26,F,0,Unknown,Single,Unknown,Blue,13,4,2,2,2600.0,1876,724.0,0.606,2625,45,0.364,0.722,0.00010736,0.99989
717642633,Existing Customer,51,M,2,Graduate,Married,$60K - $80K,Blue,40,3,3,3,3750.0,1801,1949.0,0.889,17995,116,0.657,0.48,0.00030251,0.9997
789101883,Existing Customer,32,M,3,Unknown,Single,$120K +,Blue,20,6,2,2,14244.0,1673,12571.0,0.699,2729,66,0.535,0.117,0.00012982,0.99987
717251508,Existing Customer,37,M,1,Uneducated,Married,$120K +,Blue,17,1,1,3,34516.0,0,34516.0,0.776,14127,116,0.731,0.0,8.9404e-05,0.99991
717327783,Existing Customer,39,M,2,Graduate,Married,$80K - $120K,Blue,27,4,2,2,9959.0,1476,8483.0,0.952,2760,44,1.0,0.148,0.00011382,0.99989
811974483,Existing Customer,56,M,2,Graduate,Single,$40K - $60K,Blue,51,1,3,1,1466.0,723,743.0,0.793,5110,86,0.593,0.493,0.00010848,0.99989
716988633,Existing Customer,55,M,0,High School,Divorced,$60K - $80K,Blue,46,6,1,2,9734.0,0,9734.0,0.785,1476,38,0.9,0.0,4.5946e-05,0.99995
824795358,Existing Customer,49,F,3,High School,Married,Less than $40K,Blue,45,3,3,0,1638.0,1038,600.0,0.718,4150,70,0.591,0.634,6.6935e-05,0.99993
718352358,Attrited Customer,49,F,3,Post-Graduate,Married,Less than $40K,Blue,35,3,3,2,1914.0,0,1914.0,0.677,2687,41,0.414,0.0,0.99547,0.00453174
717443658,Existing Customer,37,F,0,Graduate,Divorced,$40K - $60K,Blue,28,4,3,1,1920.0,0,1920.0,0.688,4715,81,0.841,0.0,9.3087e-05,0.99991
826136283,Existing Customer,38,F,3,High School,Married,Less than $40K,Blue,34,3,3,2,2450.0,1981,469.0,0.712,4352,66,0.784,0.809,0.00018145,0.99982
708744933,Existing Customer,35,M,2,High School,Married,$60K - $80K,Blue,36,4,2,4,19127.0,1880,17247.0,0.788,1859,33,0.571,0.098,0.00031746,0.99968
710968008,Existing Customer,37,F,4,Uneducated,Married,Less than $40K,Blue,26,2,1,2,3423.0,647,2776.0,0.73,14308,124,0.722,0.189,5.9391e-05,0.99994
711481533,Existing Customer,39,M,1,High School,Divorced,$60K - $80K,Blue,33,5,3,3,5926.0,1251,4675.0,0.944,1316,28,1.154,0.211,0.00027604,0.99972
719524383,Existing Customer,35,F,3,Graduate,Single,$40K - $60K,Blue,22,3,1,3,2441.0,1670,771.0,0.697,4105,73,0.553,0.684,9.6126e-05,0.9999
768544833,Existing Customer,45,F,4,Uneducated,Single,Less than $40K,Blue,39,6,2,3,2202.0,1414,788.0,0.593,4531,77,0.54,0.642,0.00020643,0.99979
708260208,Existing Customer,43,F,5,Uneducated,Single,Less than $40K,Blue,36,4,3,2,2057.0,1279,778.0,0.562,4321,76,0.689,0.622,0.00019094,0.99981
708176208,Existing Customer,48,F,1,Graduate,Married,$40K - $60K,Blue,36,4,4,1,7268.0,0,7268.0,0.691,4199,80,0.905,0.0,0.00012305,0.99988
760807608,Existing Customer,48,F,4,Uneducated,Married,Less than $40K,Blue,41,5,3,4,2340.0,1680,660.0,0.791,4751,83,0.804,0.718,0.0005564,0.99944
720734583,Existing Customer,44,F,2,Post-Graduate,Married,Less than $40K,Blue,32,1,3,3,2540.0,1561,979.0,0.894,5039,82,0.745,0.615,0.00035594,0.99964
711397533,Existing Customer,52,F,2,High School,Married,Less than $40K,Blue,41,4,2,2,5616.0,2410,3206.0,0.962,3410,62,0.59,0.429,0.00011065,0.99989
721506708,Existing Customer,54,M,1,Uneducated,Unknown,$80K - $120K,Blue,46,4,1,4,6249.0,2517,3732.0,0.751,3988,68,0.789,0.403,0.00015252,0.99985
717926358,Existing Customer,46,F,2,Graduate,Single,Less than $40K,Blue,30,3,1,0,5494.0,2142,3352.0,1.014,8328,78,0.733,0.39,2.0316e-05,0.99998
711866358,Existing Customer,42,F,3,High School,Single,$40K - $60K,Blue,30,4,2,3,10136.0,0,10136.0,0.428,4429,78,0.472,0.0,0.00019311,0.99981
778242708,Existing Customer,63,M,1,Unknown,Single,$60K - $80K,Silver,53,5,4,4,25502.0,1450,24052.0,0.797,4323,81,0.688,0.057,0.00058132,0.99942
720670458,Existing Customer,52,F,2,Unknown,Single,$40K - $60K,Blue,45,3,1,3,3476.0,1560,1916.0,0.894,3496,58,0.871,0.449,0.00010183,0.9999
716258358,Existing Customer,57,M,2,Uneducated,Single,$60K - $80K,Blue,36,1,1,3,23058.0,1534,21524.0,0.701,7009,82,0.708,0.067,9.5249e-05,0.9999
718478883,Existing Customer,55,F,2,College,Single,Less than $40K,Blue,36,4,1,3,3123.0,0,3123.0,0.513,4424,81,0.723,0.0,9.0064e-05,0.99991
716099958,Attrited Customer,39,F,5,Unknown,Married,$40K - $60K,Blue,31,3,3,6,3333.0,1867,1466.0,0.947,3348,50,0.282,0.56,0.99944,0.0005616
778867533,Attrited Customer,59,F,0,Post-Graduate,Married,$40K - $60K,Blue,40,1,4,1,1438.3,0,1438.3,1.038,689,23,0.353,0.0,0.9925,0.0075
718711158,Attrited Customer,52,M,3,Graduate,Married,$120K +,Blue,36,1,2,3,3841.0,2517,1324.0,0.841,2680,51,0.545,0.655,0.99499,0.00501
709183683,Existing Customer,31,F,0,Uneducated,Single,Less than $40K,Blue,36,4,2,0,5391.0,0,5391.0,1.075,1971,56,0.6,0.0,3.7045e-05,0.99996
780251658,Existing Customer,32,M,1,High School,Married,$40K - $60K,Blue,18,4,1,4,4583.0,1586,2997.0,0.828,2395,57,0.781,0.346,0.00014421,0.99986
719231583,Existing Customer,61,M,1,Graduate,Unknown,$60K - $80K,Blue,49,6,2,2,16929.0,1838,15091.0,0.551,4799,79,0.519,0.109,0.00010684,0.99989
710616183,Existing Customer,46,F,3,Uneducated,Single,Unknown,Blue,33,5,3,4,19995.0,0,19995.0,0.65,1879,34,0.7,0.0,0.00055052,0.99945
711084183,Existing Customer,47,F,5,Uneducated,Unknown,$40K - $60K,Blue,42,2,2,3,5168.0,2265,2903.0,0.715,8211,80,0.818,0.438,0.00020321,0.9998
713247408,Existing Customer,51,F,3,Uneducated,Unknown,Less than $40K,Blue,36,3,1,2,1750.0,813,937.0,0.76,4333,68,0.7,0.465,5.8763e-05,0.99994
708376983,Attrited Customer,58,F,1,Unknown,Single,Unknown,Blue,50,5,2,2,8513.0,799,7714.0,0.451,2119,37,0.542,0.094,0.99156,0.00844
718663983,Existing Customer,38,F,1,Doctorate,Single,Less than $40K,Blue,36,2,2,2,3466.0,2517,949.0,0.699,13140,94,0.709,0.726,0.0001546,0.99985
779837808,Existing Customer,53,F,2,High School,Married,$40K - $60K,Blue,37,1,4,3,5182.0,2500,2682.0,0.869,5012,85,0.809,0.482,0.00035539,0.99964
787268733,Existing Customer,52,F,1,Graduate,Married,$40K - $60K,Blue,46,5,1,2,2442.0,1507,935.0,0.631,4535,85,0.809,0.617,5.1697e-05,0.99995
804595158,Existing Customer,44,F,4,Graduate,Single,Less than $40K,Blue,36,6,4,2,7000.0,2517,4483.0,0.475,1112,23,1.875,0.36,0.00022797,0.99977
718451133,Existing Customer,48,M,2,Graduate,Single,$60K - $80K,Blue,40,4,5,4,14951.0,1413,13538.0,0.784,3899,68,1.061,0.095,0.00057631,0.99942
826077033,Attrited Customer,46,F,2,Unknown,Married,Less than $40K,Blue,42,1,0,4,2002.0,0,2002.0,0.803,2423,39,0.857,0.0,0.98468,0.01532
717924933,Existing Customer,48,F,2,Post-Graduate,Divorced,Unknown,Blue,37,3,4,2,3745.0,1291,2454.0,0.631,4956,88,0.796,0.345,0.00025577,0.99974
708249708,Existing Customer,48,F,1,Doctorate,Married,Less than $40K,Blue,39,3,3,3,4844.0,1576,3268.0,0.809,1489,48,0.6,0.325,0.00041087,0.99959
710522433,Existing Customer,65,M,0,Graduate,Married,Less than $40K,Blue,46,3,2,2,2416.0,1499,917.0,0.905,2372,53,0.514,0.62,9.7673e-05,0.9999
708894183,Existing Customer,53,M,3,College,Single,$120K +,Silver,44,4,4,2,34516.0,1073,33443.0,0.558,4485,86,0.755,0.031,0.00019815,0.9998
718317258,Existing Customer,54,F,3,Uneducated,Single,Less than $40K,Blue,47,3,3,3,7477.0,1960,5517.0,1.008,3618,76,0.583,0.262,0.00032275,0.99968
779715108,Existing Customer,46,M,2,Unknown,Divorced,$80K - $120K,Blue,30,3,3,3,2770.0,1286,1484.0,1.068,2920,74,0.721,0.464,0.00033251,0.99967
720068808,Existing Customer,41,F,2,Graduate,Married,Less than $40K,Blue,32,3,3,2,3302.0,1980,1322.0,0.625,3899,65,0.711,0.6,0.00017987,0.99982
718888308,Existing Customer,53,M,3,Graduate,Single,$80K - $120K,Blue,36,4,3,2,34516.0,2517,31999.0,0.741,1475,33,0.833,0.073,0.00018665,0.99981
720148983,Existing Customer,54,F,1,Uneducated,Married,Less than $40K,Blue,40,5,2,4,2178.0,1144,1034.0,1.585,1724,47,1.043,0.525,0.00031517,0.99968
809976033,Existing Customer,49,M,2,Uneducated,Married,$60K - $80K,Blue,44,6,3,0,7819.0,1560,6259.0,0.827,1582,25,0.786,0.2,6.8225e-05,0.99993
709398708,Existing Customer,40,M,3,High School,Divorced,$60K - $80K,Blue,36,3,1,2,16268.0,2517,13751.0,0.652,15925,124,0.824,0.155,5.5559e-05,0.99994
709469658,Existing Customer,47,M,3,Unknown,Single,$80K - $120K,Blue,36,3,1,2,7421.0,0,7421.0,0.708,4353,75,0.786,0.0,6.282e-05,0.99994
709479558,Existing Customer,36,F,4,College,Single,Less than $40K,Blue,36,3,2,1,2758.0,2168,590.0,1.046,3073,86,0.792,0.786,6.9988e-05,0.99993
710872233,Existing Customer,27,M,0,Unknown,Single,$40K - $60K,Blue,17,5,1,2,4610.0,0,4610.0,0.794,2280,49,0.4,0.0,5.1951e-05,0.99995
711542358,Existing Customer,42,F,4,High School,Married,Less than $40K,Gold,36,2,3,2,15987.0,1187,14800.0,0.597,7471,88,0.467,0.074,0.00021128,0.99979
773270058,Existing Customer,57,M,5,High School,Married,$80K - $120K,Blue,50,4,2,3,13427.0,0,13427.0,0.521,1337,27,0.588,0.0,0.00019213,0.99981
788633733,Existing Customer,36,M,3,Graduate,Married,$60K - $80K,Silver,13,4,3,2,28174.0,1173,27001.0,0.779,16258,108,0.714,0.042,0.00016865,0.99983
779499933,Existing Customer,46,M,5,Uneducated,Unknown,$80K - $120K,Blue,28,6,1,1,34516.0,1259,33257.0,0.671,4300,94,0.741,0.036,3.5257e-05,0.99996
716218908,Existing Customer,48,F,4,Doctorate,Single,Unknown,Blue,39,6,1,1,2845.0,919,1926.0,0.652,2635,43,1.263,0.323,5.0408e-05,0.99995
716733933,Existing Customer,42,F,2,High School,Married,Unknown,Blue,30,5,3,2,1898.0,725,1173.0,0.664,5051,64,1.065,0.382,0.00017486,0.99983
787974108,Attrited Customer,37,F,1,High School,Single,$40K - $60K,Blue,27,4,2,2,1793.0,792,1001.0,0.723,2374,40,0.429,0.442,0.99046,0.00954
719293533,Existing Customer,30,M,1,College,Single,Unknown,Blue,13,3,3,3,21590.0,2517,19073.0,0.813,2567,70,0.795,0.117,0.00027607,0.99972
714451833,Existing Customer,45,F,1,Doctorate,Single,Less than $40K,Blue,36,6,2,2,1438.3,0,1438.3,0.597,1431,34,0.545,0.0,0.0001546,0.99985
712453308,Existing Customer,46,M,4,High School,Divorced,$40K - $60K,Silver,36,2,2,3,15034.0,1356,13678.0,0.754,7737,84,0.75,0.09,0.00017635,0.99982
720302883,Existing Customer,53,F,3,Graduate,Married,Less than $40K,Blue,35,4,3,1,3390.0,2180,1210.0,0.877,4585,78,0.95,0.643,0.00011256,0.99989
712523283,Existing Customer,55,M,2,Unknown,Married,$120K +,Blue,41,4,3,2,14938.0,0,14938.0,0.49,1134,31,0.632,0.0,0.00019771,0.9998
788870283,Existing Customer,56,F,3,Graduate,Married,Less than $40K,Blue,41,5,4,1,1438.3,0,1438.3,0.796,3778,72,1.118,0.0,0.00013603,0.99986
827318958,Existing Customer,49,F,4,Unknown,Single,Less than $40K,Blue,45,5,3,2,9431.0,1785,7646.0,0.603,14261,99,0.65,0.189,0.00020735,0.99979
769095558,Existing Customer,59,M,1,Doctorate,Single,$60K - $80K,Blue,53,3,2,2,9055.0,1560,7495.0,0.696,1755,45,0.8,0.172,0.0001546,0.99985
717891558,Existing Customer,49,F,4,Graduate,Unknown,Less than $40K,Blue,36,6,4,2,3298.0,2200,1098.0,0.678,1052,32,0.6,0.667,0.00022797,0.99977
720242733,Existing Customer,45,M,4,Unknown,Single,Less than $40K,Blue,36,5,2,3,1963.0,1549,414.0,0.778,3718,75,0.596,0.789,0.00022068,0.99978
